quantile,target_end_date,value
0.85,2026-01-03,3835.3
0.85,2026-01-04,3655.15
0.85,2026-01-05,3489.15
0.85,2026-01-06,3326.0
0.85,2026-01-07,3186.0
0.85,2026-01-08,3047.15
0.85,2026-01-09,2893.0
0.85,2026-01-10,2750.0
0.85,2026-01-11,2631.0499999999997
0.85,2026-01-12,2487.45
0.85,2026-01-13,2378.45
0.85,2026-01-14,2271.0999999999995
0.9,2026-01-01,4150.0
0.9,2026-01-02,4070.4
0.9,2026-01-03,3943.0
0.9,2026-01-04,3789.2
0.9,2026-01-05,3610.2
0.9,2026-01-06,3470.8
0.9,2026-01-07,3337.1
0.9,2026-01-08,3180.1
0.9,2026-01-09,3061.4
0.9,2026-01-10,2935.6000000000004
0.9,2026-01-11,2807.9
0.9,2026-01-12,2683.3
0.9,2026-01-13,2570.2
0.9,2026-01-14,2476.1
0.95,2026-01-01,4273.1
0.95,2026-01-02,4184.0
0.95,2026-01-03,4096.1
0.95,2026-01-04,3955.2999999999997
0.95,2026-01-05,3833.1499999999996
0.95,2026-01-06,3693.1
0.95,2026-01-07,3563.1
0.95,2026-01-08,3421.0
0.95,2026-01-09,3316.1
0.95,2026-01-10,3193.25
0.95,2026-01-11,3095.05
0.95,2026-01-12,2952.8499999999995
0.95,2026-01-13,2865.0
0.95,2026-01-14,2753.4999999999995
0.975,2026-01-01,4403.05
0.975,2026-01-02,4314.375
0.975,2026-01-03,4208.075
0.975,2026-01-04,4101.175
0.975,2026-01-05,3967.025
0.975,2026-01-06,3832.1
0.975,2026-01-07,3720.899999999999
0.975,2026-01-08,3586.6249999999995
0.975,2026-01-09,3514.5749999999994
0.975,2026-01-10,3412.899999999999
0.975,2026-01-11,3273.05
0.975,2026-01-12,3196.4249999999997
0.975,2026-01-13,3146.774999999999
0.975,2026-01-14,3039.025
0.99,2026-01-01,4568.05
0.99,2026-01-02,4502.0599999999995
0.99,2026-01-03,4427.03
0.99,2026-01-04,4306.4
0.99,2026-01-05,4211.379999999999
0.99,2026-01-06,4117.07
0.99,2026-01-07,4042.18
0.99,2026-01-08,3914.08
0.99,2026-01-09,3803.059999999999
0.99,2026-01-10,3698.7399999999993
0.99,2026-01-11,3677.3199999999997
0.99,2026-01-12,3551.959999999999
0.99,2026-01-13,3422.9699999999993
0.99,2026-01-14,3448.2299999999996
