quantile,target_end_date,value
0.975,2026-01-04,6893.125
0.975,2026-01-05,7231.15
0.975,2026-01-06,7599.05
0.975,2026-01-07,7976.025
0.975,2026-01-08,8369.15
0.975,2026-01-09,8795.0
0.975,2026-01-10,9212.1
0.975,2026-01-11,9675.125
0.975,2026-01-12,10161.574999999999
0.975,2026-01-13,10638.25
0.975,2026-01-14,11142.15
0.99,2026-01-01,6130.02
0.99,2026-01-02,6357.02
0.99,2026-01-03,6632.02
0.99,2026-01-04,6958.01
0.99,2026-01-05,7304.03
0.99,2026-01-06,7673.01
0.99,2026-01-07,8039.1
0.99,2026-01-08,8424.17
0.99,2026-01-09,8864.25
0.99,2026-01-10,9325.02
0.99,2026-01-11,9814.279999999999
0.99,2026-01-12,10367.17
0.99,2026-01-13,10845.369999999999
0.99,2026-01-14,11352.39
